DATE,PERMNO,SHRCD,EXCHCD,SICCD,DLRETX,DLRET,SHROUT,PRC,VOL,RET,RETX
20010131,10145,11,1,3714,,,804936,47.25000,1074721,-0.001321,-0.001321
20010228,10145,11,1,3714,,,804936,46.73000,803077,-0.007037,-0.011005
20010330,10145,11,1,3724,,,804936,40.80000,1223251,-0.126899,-0.126899
20010430,10145,11,1,3724,,,804936,48.88000,948065,0.198039,0.198039
20010531,10145,11,1,3724,,,809281,48.40000,840581,-0.009820,-0.009820
20010629,10145,11,1,3724,,,809281,34.99000,4157950,-0.277066,-0.277066
20010731,10145,11,1,3724,,,809281,36.87000,1624712,0.059088,0.053730
20010831,10145,11,1,3724,,,811616,37.26000,671087,0.015663,0.010578
20010928,10145,11,1,3724,,,811616,26.40000,1168528,-0.291465,-0.291465
20011031,10145,11,1,3724,,,811619,29.55000,830551,0.119318,0.119318
20011130,10145,11,1,3724,,,813189,33.14000,638714,0.127834,0.121489
20011231,10145,11,1,3724,,,813189,33.82000,551044,0.020519,0.020519
20020131,10145,11,1,3724,,,813189,33.61000,1021523,-0.006209,-0.006209
20020228,10145,11,1,3724,,,813189,38.12000,954270,0.139765,0.134186
20020328,10145,11,1,3724,,,814966,38.27000,698909,0.003935,0.003935
20020430,10145,11,1,3724,,,814966,36.68000,725925,-0.041547,-0.041547
20020531,10145,11,1,3724,,,817610,39.20000,567383,0.073814,0.068702
20020628,10145,11,1,3724,,,817611,35.23000,564921,-0.101276,-0.101276
20020731,10145,11,1,3724,,,817611,32.36000,794099,-0.081465,-0.081465
20020830,10145,11,1,3724,,,819290,29.95000,753999,-0.068680,-0.074475
20020930,10145,11,1,3724,,,819290,21.66000,1197400,-0.276795,-0.276795
20021031,10145,11,1,3724,,,819290,23.94000,941812,0.105263,0.105263
20021129,10145,11,1,3724,,,821051,26.01000,963061,0.094298,0.086466
20021231,10145,11,1,3724,,,821051,24.00000,866909,-0.077278,-0.077278
20030131,10145,11,1,3724,,,821051,24.44000,717515,0.018333,0.018333
20030228,10145,11,1,3724,,,821051,22.89000,579608,-0.055749,-0.063421
20030331,10145,11,1,3724,,,855585,21.36000,945258,-0.066841,-0.066841
20030430,10145,11,1,3724,,,855585,23.60000,740508,0.104869,0.104869
20030530,10145,11,1,3724,,,857902,26.20000,815617,0.118114,0.110170
20030630,10145,11,1,3724,,,857902,26.85000,896300,0.024809,0.024809
20030731,10145,11,1,3724,,,857902,28.28000,746209,0.053259,0.053259
20030829,10145,11,1,3724,,,860055,28.99000,584345,0.031736,0.025106
20030930,10145,11,1,3724,,,860055,26.35000,756222,-0.091066,-0.091066
20031031,10145,11,1,3724,,,860055,30.61000,831301,0.161670,0.161670
20031128,10145,11,1,3724,,,862051,29.69000,561124,-0.023930,-0.030056
20031231,10145,11,1,3724,,,862051,33.43000,1001211,0.125968,0.125968
20040130,10145,11,1,3724,,,862051,36.12000,948883,0.080467,0.080467
20040227,10145,11,1,3724,,,862051,35.05000,622961,-0.024432,-0.029623
20040331,10145,11,1,3724,,,858795,33.85000,740682,-0.034237,-0.034237
20040430,10145,11,1,3724,,,858795,34.58000,602408,0.021566,0.021566
20040528,10145,11,1,3724,,,859196,33.70000,484310,-0.020026,-0.025448
20040630,10145,11,1,3724,,,859196,36.63000,618342,0.086944,0.086944
20040730,10145,11,1,3724,,,859196,37.61000,739611,0.026754,0.026754
20040831,10145,11,1,3724,,,859572,35.98000,677365,-0.038354,-0.043340
20040930,10145,11,1,3724,,,859572,35.86000,585407,-0.003335,-0.003335
20041029,10145,11,1,3724,,,859572,33.68000,890727,-0.060792,-0.060792
20041130,10145,11,1,3724,,,860168,35.33000,660125,0.054558,0.048991
20041231,10145,11,1,3724,,,860168,35.41000,861597,0.002264,0.002264
20050131,10145,11,1,3724,,,860168,35.98000,821259,0.016097,0.016097
20050228,10145,11,1,3724,,,850772,37.97000,759916,0.061041,0.055309
20050331,10145,11,1,3724,,,850772,37.21000,806275,-0.020016,-0.020016
20050429,10145,11,1,3724,,,850772,35.76000,688235,-0.038968,-0.038968
20050531,10145,11,1,3724,,,853030,36.23000,893758,0.018911,0.013143
20050630,10145,11,1,3724,,,853030,36.63000,794350,0.011041,0.011041
20050729,10145,11,1,3724,,,853030,39.28000,856371,0.072345,0.072345
20050831,10145,11,1,3724,,,855147,38.28000,614665,-0.020207,-0.025458
20050930,10145,11,1,3724,,,855147,37.50000,672886,-0.020376,-0.020376
20051031,10145,11,1,3724,,,842759,34.20000,913881,-0.088000,-0.088000
20051130,10145,11,1,3724,,,842759,36.54000,809312,0.074452,0.068421
20051230,10145,11,1,3724,,,842759,37.25000,948868,0.019431,0.019431
20060131,10145,11,1,3724,,,842759,38.42000,770941,0.031409,0.031409
20060228,10145,11,1,3724,,,842759,40.95000,898915,0.071756,0.065851
20060331,10145,11,1,3724,,,831304,42.77000,681418,0.044444,0.044444
20060428,10145,11,1,3724,,,827938,42.50000,687227,-0.006313,-0.006313
20060531,10145,11,1,3724,,,827938,41.18000,721445,-0.025721,-0.031059
20060630,10145,11,1,3724,,,827938,40.30000,761585,-0.021370,-0.021370
20060731,10145,11,1,3724,,,818941,38.70000,960226,-0.039702,-0.039702
20060831,10145,11,1,3724,,,818941,38.72000,731596,0.006379,0.000517
20060929,10145,11,1,3724,,,818941,40.90000,674877,0.056302,0.056302
20061031,10145,11,1,3724,,,816510,42.12000,794238,0.029829,0.029829
20061130,10145,11,1,3724,,,816510,42.98000,685499,0.025804,0.020418
20061229,10145,11,1,3724,,,816510,45.24000,856399,0.052583,0.052583
20070131,10145,11,1,3724,,,816510,45.69000,670514,0.009947,0.009947
20070228,10145,11,1,3724,,,799928,46.40000,730004,0.021011,0.015540
20070330,10145,11,1,3724,,,794532,46.06000,927978,-0.007328,-0.007328
20070430,10145,11,1,3724,,,779718,54.18000,1034270,0.176292,0.176292
20070531,10145,11,1,3724,,,779718,57.91000,1810490,0.073459,0.068845
20070629,10145,11,1,3724,,,779718,56.28000,1048249,-0.028147,-0.028147
20070731,10145,11,1,3724,,,748396,57.51000,1138470,0.021855,0.021855
20070831,10145,11,1,3724,,,748396,56.15000,1254939,-0.019301,-0.023648
20070928,10145,11,1,3724,,,748396,59.47000,780476,0.059127,0.059127
20071031,10145,11,1,3724,,,746770,60.41000,821300,0.015806,0.015806
20071130,10145,11,1,3724,,,746770,56.62000,1086627,-0.058600,-0.062738
20071231,10145,11,1,3724,,,746770,61.57000,871319,0.087425,0.087425
20080131,10145,11,1,3724,,,746770,59.07000,1234897,-0.040604,-0.040604
20080229,10145,11,1,3724,,,744383,57.54000,1181254,-0.021246,-0.025901
20080331,10145,11,1,3724,,,741000,56.42000,1018651,-0.019465,-0.019465
20080430,10145,11,1,3724,,,741524,59.40000,1033195,0.052818,0.052818
20080530,10145,11,1,3724,,,741524,59.62000,724397,0.008333,0.003704
20080630,10145,11,1,3724,,,741524,50.28000,1254834,-0.156659,-0.156659
20080731,10145,11,1,3724,,,744436,50.84000,1502241,0.011138,0.011138
20080829,10145,11,1,3724,,,744436,50.17000,753281,-0.007770,-0.013179
20080930,10145,11,1,3724,,,744436,41.55000,1469922,-0.171816,-0.171816
20081031,10145,11,1,3724,,,726287,30.45000,2315203,-0.267148,-0.267148
20081128,10145,11,1,3724,,,726287,27.86000,1291626,-0.076026,-0.085057
20081231,10145,11,1,3724,,,726287,32.83000,1627978,0.178392,0.178392
20090130,10145,11,1,3724,,,726287,32.81000,1280851,-0.000609,-0.000609
20090227,10145,11,1,3724,,,735181,26.83000,1500736,-0.173042,-0.182262
20090331,10145,11,1,3724,,,735753,27.86000,1640393,0.038390,0.038390
20090430,10145,11,1,3724,,,743849,31.21000,1640626,0.120244,0.120244
20090529,10145,11,1,3724,,,743849,33.16000,1335226,0.072172,0.062480
20090630,10145,11,1,3724,,,743849,31.40000,1304628,-0.053076,-0.053076
20090731,10145,11,1,3724,,,752054,34.70000,1250877,0.105096,0.105096
20090831,10145,11,1,3724,,,752054,36.76000,1038482,0.068084,0.059366
20090930,10145,11,1,3724,,,752054,37.15000,1373442,0.010609,0.010609
20091030,10145,11,1,3724,,,763044,35.89000,1347432,-0.033917,-0.033917
20091130,10145,11,1,3724,,,763044,38.47000,889378,0.080315,0.071886
20091231,10145,11,1,3724,,,763044,39.20000,1081774,0.018976,0.018976
20100129,10145,11,1,3724,,,763044,38.64000,1163568,-0.014286,-0.014286
20100226,10145,11,1,3724,,,764552,40.16000,1079882,0.047166,0.039337
20100331,10145,11,1,3724,,,764976,45.27000,1241253,0.127241,0.127241
20100430,10145,11,1,3724,,,766182,47.47000,1083840,0.048597,0.048597
20100528,10145,11,1,3724,,,766182,42.77000,1372768,-0.092637,-0.099010
20100630,10145,11,1,3724,,,766182,39.03000,1339396,-0.087445,-0.087445
20100730,10145,11,1,3724,,,772210,42.86000,1100621,0.098130,0.098130
20100831,10145,11,1,3724,,,772210,39.06000,979612,-0.081603,-0.088661
20100930,10145,11,1,3724,,,772210,43.94000,1016920,0.124936,0.124936
20101029,10145,11,1,3724,,,780173,47.11000,1024534,0.072144,0.072144
20101130,10145,11,1,3724,,,780173,49.71000,1116205,0.061611,0.055190
20101231,10145,11,1,3724,,,780173,53.16000,850779,0.069403,0.069403
20110131,10145,11,1,3724,,,780173,56.01000,842845,0.053612,0.053612
20110228,10145,11,1,3724,,,784122,57.91000,653305,0.039859,0.033923
20110331,10145,11,1,3724,,,785076,59.71000,965934,0.031083,0.031083
20110429,10145,11,1,3724,,,787008,61.23000,884654,0.025456,0.025456
20110531,10145,11,1,3724,,,787008,59.55000,875780,-0.022007,-0.027438
20110630,10145,11,1,3724,,,787008,59.59000,857294,0.000672,0.000672
20110729,10145,11,1,3724,,,782425,53.10000,915187,-0.108911,-0.108911
20110831,10145,11,1,3724,,,782425,47.81000,2042783,-0.093362,-0.099623
20110930,10145,11,1,3724,,,782425,43.91000,1227444,-0.081573,-0.081573
20111031,10145,11,1,3724,,,773497,52.40000,1186839,0.193350,0.193350
20111130,10145,11,1,3724,,,773497,54.15000,974254,0.040506,0.033397
20111230,10145,11,1,3724,A,A,773497,54.35000,792166,0.003693,0.003693
20010131,11850,11,1,2911,,,3476189,84.15000,1558784,-0.032063,-0.032063
20010228,11850,11,1,2911,,,3476189,81.05000,1009365,-0.031610,-0.036839
20010330,11850,11,1,2911,,,3455409,81.00000,1389363,-0.000617,-0.000617
20010430,11850,11,1,2911,,,3456242,88.60000,1329121,0.093827,0.093827
20010531,11850,11,1,2911,,,3449876,88.75000,1282388,0.006659,0.001693
20010629,11850,11,1,2911,,,3449876,87.35000,1249299,-0.015549,-0.015775
20010731,11850,11,1,2911,,,6899752,41.76000,1605509,-0.043847,-0.043847
20010831,11850,11,1,2911,,,6899752,40.15000,1902282,-0.033046,-0.038554
20010928,11850,11,1,2911,,,6899752,39.40000,1949010,-0.018680,-0.018680
20011031,11850,11,1,2911,,,6899752,39.45000,2250183,0.001269,0.001269
